,aeid,Rosig_AC50,Trog_AC50,test_status,biological_process_target,intended_target_family,intended_target_family_sub,test_target,intended_target_gene_symbol,technological_target_gene_symbol,intended_target_entrez_gene_id,technological_target_entrez_gene_id,intended_target_gene_name,technological_target_gene_name,assay_component_endpoint_name,assay_name
240,181,8.44120730629049,27.6512446099971,R-T,regulation of gene expression,cell adhesion molecules,Immunoglobulin CAM,VCAM1,VCAM1,VCAM1,7412,7412,vascular cell adhesion molecule 1,vascular cell adhesion molecule 1,BSK_4H_VCAM1_down,BSK_4H
241,182,1000000.0,1000000.0,nR-nT,regulation of gene expression,cell adhesion molecules,Immunoglobulin CAM,VCAM1,VCAM1,VCAM1,7412,7412,vascular cell adhesion molecule 1,vascular cell adhesion molecule 1,BSK_4H_VCAM1_up,BSK_4H
242,183,1000000.0,1000000.0,nR-nT,regulation of gene expression,kinase,receptor tyrosine kinase,KDR,KDR,KDR,3791,3791,kinase insert domain receptor (a type III receptor tyrosine kinase),kinase insert domain receptor (a type III receptor tyrosine kinase),BSK_4H_VEGFRII_down,BSK_4H
243,184,1000000.0,1000000.0,nR-nT,regulation of gene expression,kinase,receptor tyrosine kinase,KDR,KDR,KDR,3791,3791,kinase insert domain receptor (a type III receptor tyrosine kinase),kinase insert domain receptor (a type III receptor tyrosine kinase),BSK_4H_VEGFRII_up,BSK_4H
244,185,17.9245155824329,11.7696504869309,R-T,regulation of gene expression,cell adhesion molecules,MHC Class II,HLA-DRA,HLA-DRA,HLA-DRA,3122,3122,"major histocompatibility complex, class II, DR alpha","major histocompatibility complex, class II, DR alpha",BSK_BE3C_HLADR_down,BSK_BE3C
245,186,1000000.0,1000000.0,nR-nT,regulation of gene expression,cell adhesion molecules,MHC Class II,HLA-DRA,HLA-DRA,HLA-DRA,3122,3122,"major histocompatibility complex, class II, DR alpha","major histocompatibility complex, class II, DR alpha",BSK_BE3C_HLADR_up,BSK_BE3C
246,187,3.56306341424277,13.4295333027523,R-T,regulation of gene expression,cytokine,interleukins,IL1A,IL1A,IL1A,3552,3552,"interleukin 1, alpha","interleukin 1, alpha",BSK_BE3C_IL1a_down,BSK_BE3C
247,188,1000000.0,1000000.0,nR-nT,regulation of gene expression,cytokine,interleukins,IL1A,IL1A,IL1A,3552,3552,"interleukin 1, alpha","interleukin 1, alpha",BSK_BE3C_IL1a_up,BSK_BE3C
248,189,16.5903333822603,10.9211689326802,R-T,regulation of gene expression,cytokine,chemotactic factor,CXCL10,CXCL10,CXCL10,3627,3627,chemokine (C-X-C motif) ligand 10,chemokine (C-X-C motif) ligand 10,BSK_BE3C_IP10_down,BSK_BE3C
249,190,1000000.0,1000000.0,nR-nT,regulation of gene expression,cytokine,chemotactic factor,CXCL10,CXCL10,CXCL10,3627,3627,chemokine (C-X-C motif) ligand 10,chemokine (C-X-C motif) ligand 10,BSK_BE3C_IP10_up,BSK_BE3C
250,191,1000000.0,15.1156665420594,nR-T,regulation of gene expression,cytokine,chemotactic factor,CXCL9,CXCL9,CXCL9,4283,4283,chemokine (C-X-C motif) ligand 9,chemokine (C-X-C motif) ligand 9,BSK_BE3C_MIG_down,BSK_BE3C
251,192,1000000.0,1000000.0,nR-nT,regulation of gene expression,cytokine,chemotactic factor,CXCL9,CXCL9,CXCL9,4283,4283,chemokine (C-X-C motif) ligand 9,chemokine (C-X-C motif) ligand 9,BSK_BE3C_MIG_up,BSK_BE3C
252,193,1000000.0,33.2609787481841,nR-T,regulation of gene expression,protease,matrix metalloproteinase,MMP1,MMP1,MMP1,4312,4312,matrix metallopeptidase 1 (interstitial collagenase),matrix metallopeptidase 1 (interstitial collagenase),BSK_BE3C_MMP1_down,BSK_BE3C
253,194,1000000.0,1000000.0,nR-nT,regulation of gene expression,protease,matrix metalloproteinase,MMP1,MMP1,MMP1,4312,4312,matrix metallopeptidase 1 (interstitial collagenase),matrix metallopeptidase 1 (interstitial collagenase),BSK_BE3C_MMP1_up,BSK_BE3C
254,195,0.236096703206216,11.3127278834004,R-T,regulation of gene expression,cytokine,plasmogen activator inhibitor,SERPINE1,SERPINE1,SERPINE1,5054,5054,"serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1","serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1",BSK_BE3C_PAI1_down,BSK_BE3C
255,196,1000000.0,1000000.0,nR-nT,regulation of gene expression,cytokine,plasmogen activator inhibitor,SERPINE1,SERPINE1,SERPINE1,5054,5054,"serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1","serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1",BSK_BE3C_PAI1_up,BSK_BE3C
256,197,1000000.0,22.2318856699011,nR-T,cell death,cell cycle,cytotoxicity,cell death,,,,,,,BSK_BE3C_SRB_down,BSK_BE3C
257,198,1000000.0,1000000.0,nR-nT,cell death,cell morphology,cell conformation,cell death,,,,,,,BSK_BE3C_SRB_up,BSK_BE3C
258,199,1000000.0,12.0470079727886,nR-T,regulation of gene expression,growth factor,transforming growth factor beta,TGFB1,TGFB1,TGFB1,7040,7040,"transforming growth factor, beta 1","transforming growth factor, beta 1",BSK_BE3C_TGFb1_down,BSK_BE3C
259,200,1000000.0,1000000.0,nR-nT,regulation of gene expression,growth factor,transforming growth factor beta,TGFB1,TGFB1,TGFB1,7040,7040,"transforming growth factor, beta 1","transforming growth factor, beta 1",BSK_BE3C_TGFb1_up,BSK_BE3C
260,201,1000000.0,8.72952934953297,nR-T,regulation of gene expression,protease,serine protease,PLAT,PLAT,PLAT,5327,5327,"plasminogen activator, tissue","plasminogen activator, tissue",BSK_BE3C_tPA_down,BSK_BE3C
261,202,1000000.0,1000000.0,nR-nT,regulation of gene expression,protease,serine protease,PLAT,PLAT,PLAT,5327,5327,"plasminogen activator, tissue","plasminogen activator, tissue",BSK_BE3C_tPA_up,BSK_BE3C
262,203,1000000.0,11.8725312383604,nR-T,regulation of gene expression,protease,serine protease,PLAU,PLAU,PLAU,5328,5328,"plasminogen activator, urokinase","plasminogen activator, urokinase",BSK_BE3C_uPA_down,BSK_BE3C
263,204,1000000.0,1000000.0,nR-nT,regulation of gene expression,protease,serine protease,PLAU,PLAU,PLAU,5328,5328,"plasminogen activator, urokinase","plasminogen activator, urokinase",BSK_BE3C_uPA_up,BSK_BE3C
264,205,5.05427647250063,13.9503173862074,R-T,regulation of gene expression,cytokine,plasmogen activator,PLAUR,PLAUR,PLAUR,5329,5329,"plasminogen activator, urokinase receptor","plasminogen activator, urokinase receptor",BSK_BE3C_uPAR_down,BSK_BE3C
265,206,1000000.0,1000000.0,nR-nT,regulation of gene expression,cytokine,plasmogen activator,PLAUR,PLAUR,PLAUR,5329,5329,"plasminogen activator, urokinase receptor","plasminogen activator, urokinase receptor",BSK_BE3C_uPAR_up,BSK_BE3C
266,207,1000000.0,1000000.0,nR-nT,regulation of gene expression,cell adhesion molecules,MHC Class II,HLA-DRA,HLA-DRA,HLA-DRA,3122,3122,"major histocompatibility complex, class II, DR alpha","major histocompatibility complex, class II, DR alpha",BSK_CASM3C_HLADR_down,BSK_CASM3C
267,208,1000000.0,1000000.0,nR-nT,regulation of gene expression,cell adhesion molecules,MHC Class II,HLA-DRA,HLA-DRA,HLA-DRA,3122,3122,"major histocompatibility complex, class II, DR alpha","major histocompatibility complex, class II, DR alpha",BSK_CASM3C_HLADR_up,BSK_CASM3C
268,209,1000000.0,1000000.0,nR-nT,regulation of gene expression,cytokine,interleukins,IL6,IL6,IL6,3569,3569,interleukin 6,interleukin 6,BSK_CASM3C_IL6_down,BSK_CASM3C
269,210,1000000.0,1000000.0,nR-nT,regulation of gene expression,cytokine,interleukins,IL6,IL6,IL6,3569,3569,interleukin 6,interleukin 6,BSK_CASM3C_IL6_up,BSK_CASM3C
270,211,1000000.0,1000000.0,nR-nT,regulation of gene expression,cytokine,interleukins,CXCL8,CXCL8,CXCL8,3576,3576,chemokine (C-X-C motif) ligand 8,chemokine (C-X-C motif) ligand 8,BSK_CASM3C_IL8_down,BSK_CASM3C
271,212,1000000.0,1000000.0,nR-nT,regulation of gene expression,cytokine,interleukins,CXCL8,CXCL8,CXCL8,3576,3576,chemokine (C-X-C motif) ligand 8,chemokine (C-X-C motif) ligand 8,BSK_CASM3C_IL8_up,BSK_CASM3C
272,213,1000000.0,1000000.0,nR-nT,regulation of gene expression,misc protein,LDL receptor,LDLR,LDLR,LDLR,3949,3949,low density lipoprotein receptor,low density lipoprotein receptor,BSK_CASM3C_LDLR_down,BSK_CASM3C
273,214,8.87501184069395,1000000.0,R-nT,regulation of gene expression,misc protein,LDL receptor,LDLR,LDLR,LDLR,3949,3949,low density lipoprotein receptor,low density lipoprotein receptor,BSK_CASM3C_LDLR_up,BSK_CASM3C
274,215,1000000.0,1000000.0,nR-nT,regulation of gene expression,cytokine,chemotactic factor,CCL2,CCL2,CCL2,6347,6347,chemokine (C-C motif) ligand 2,chemokine (C-C motif) ligand 2,BSK_CASM3C_MCP1_down,BSK_CASM3C
275,216,1000000.0,1000000.0,nR-nT,regulation of gene expression,cytokine,chemotactic factor,CCL2,CCL2,CCL2,6347,6347,chemokine (C-C motif) ligand 2,chemokine (C-C motif) ligand 2,BSK_CASM3C_MCP1_up,BSK_CASM3C
276,217,1000000.0,1000000.0,nR-nT,regulation of gene expression,cytokine,colony stimulating factor,CSF1,CSF1,CSF1,1435,1435,colony stimulating factor 1 (macrophage),colony stimulating factor 1 (macrophage),BSK_CASM3C_MCSF_down,BSK_CASM3C
277,218,1000000.0,1000000.0,nR-nT,regulation of gene expression,cytokine,colony stimulating factor,CSF1,CSF1,CSF1,1435,1435,colony stimulating factor 1 (macrophage),colony stimulating factor 1 (macrophage),BSK_CASM3C_MCSF_up,BSK_CASM3C
278,219,1000000.0,1000000.0,nR-nT,regulation of gene expression,cytokine,chemotactic factor,CXCL9,CXCL9,CXCL9,4283,4283,chemokine (C-X-C motif) ligand 9,chemokine (C-X-C motif) ligand 9,BSK_CASM3C_MIG_down,BSK_CASM3C
279,220,1000000.0,1000000.0,nR-nT,regulation of gene expression,cytokine,chemotactic factor,CXCL9,CXCL9,CXCL9,4283,4283,chemokine (C-X-C motif) ligand 9,chemokine (C-X-C motif) ligand 9,BSK_CASM3C_MIG_up,BSK_CASM3C
280,221,1000000.0,5.40807506287699,nR-T,cell proliferation,cell cycle,cytotoxicity,cell proliferation,,,,,,,BSK_CASM3C_Proliferation_down,BSK_CASM3C
281,222,1000000.0,1000000.0,nR-nT,cell proliferation,cell cycle,proliferation,cell proliferation,,,,,,,BSK_CASM3C_Proliferation_up,BSK_CASM3C
282,223,1000000.0,1000000.0,nR-nT,regulation of gene expression,cell adhesion molecules,apolipoproteins,SAA1,SAA1,SAA1,6288,6288,serum amyloid A1,serum amyloid A1,BSK_CASM3C_SAA_down,BSK_CASM3C
283,224,1000000.0,1000000.0,nR-nT,regulation of gene expression,cell adhesion molecules,apolipoproteins,SAA1,SAA1,SAA1,6288,6288,serum amyloid A1,serum amyloid A1,BSK_CASM3C_SAA_up,BSK_CASM3C
284,225,1000000.0,1000000.0,nR-nT,cell death,cell cycle,cytotoxicity,cell death,,,,,,,BSK_CASM3C_SRB_down,BSK_CASM3C
285,226,1000000.0,1000000.0,nR-nT,cell death,cell morphology,cell conformation,cell death,,,,,,,BSK_CASM3C_SRB_up,BSK_CASM3C
286,227,1000000.0,1000000.0,nR-nT,regulation of gene expression,gpcr,rhodopsin-like receptor,THBD,THBD,THBD,7056,7056,thrombomodulin,thrombomodulin,BSK_CASM3C_Thrombomodulin_down,BSK_CASM3C
287,228,1000000.0,4.57997435589914,nR-T,regulation of gene expression,gpcr,rhodopsin-like receptor,THBD,THBD,THBD,7056,7056,thrombomodulin,thrombomodulin,BSK_CASM3C_Thrombomodulin_up,BSK_CASM3C
288,229,8.64038911010257,1000000.0,R-nT,regulation of gene expression,cytokine,coagulation factor,F3,F3,F3,2152,2152,"coagulation factor III (thromboplastin, tissue factor)","coagulation factor III (thromboplastin, tissue factor)",BSK_CASM3C_TissueFactor_down,BSK_CASM3C
289,230,1000000.0,1000000.0,nR-nT,regulation of gene expression,cytokine,coagulation factor,F3,F3,F3,2152,2152,"coagulation factor III (thromboplastin, tissue factor)","coagulation factor III (thromboplastin, tissue factor)",BSK_CASM3C_TissueFactor_up,BSK_CASM3C
290,231,1000000.0,1000000.0,nR-nT,regulation of gene expression,cytokine,plasmogen activator,PLAUR,PLAUR,PLAUR,5329,5329,"plasminogen activator, urokinase receptor","plasminogen activator, urokinase receptor",BSK_CASM3C_uPAR_down,BSK_CASM3C
291,232,1000000.0,1000000.0,nR-nT,regulation of gene expression,cytokine,plasmogen activator,PLAUR,PLAUR,PLAUR,5329,5329,"plasminogen activator, urokinase receptor","plasminogen activator, urokinase receptor",BSK_CASM3C_uPAR_up,BSK_CASM3C
292,233,1000000.0,1000000.0,nR-nT,regulation of gene expression,cell adhesion molecules,Immunoglobulin CAM,VCAM1,VCAM1,VCAM1,7412,7412,vascular cell adhesion molecule 1,vascular cell adhesion molecule 1,BSK_CASM3C_VCAM1_down,BSK_CASM3C
293,234,1000000.0,1000000.0,nR-nT,regulation of gene expression,cell adhesion molecules,Immunoglobulin CAM,VCAM1,VCAM1,VCAM1,7412,7412,vascular cell adhesion molecule 1,vascular cell adhesion molecule 1,BSK_CASM3C_VCAM1_up,BSK_CASM3C
294,235,1000000.0,11.4438681966342,nR-T,regulation of gene expression,cell adhesion molecules,collagen,COL3A1,COL3A1,COL3A1,1281,1281,"collagen, type III, alpha 1","collagen, type III, alpha 1",BSK_hDFCGF_CollagenIII_down,BSK_hDFCGF
295,236,1000000.0,1000000.0,nR-nT,regulation of gene expression,cell adhesion molecules,collagen,COL3A1,COL3A1,COL3A1,1281,1281,"collagen, type III, alpha 1","collagen, type III, alpha 1",BSK_hDFCGF_CollagenIII_up,BSK_hDFCGF
296,237,1000000.0,6.20027060263962,nR-T,regulation of gene expression,kinase,receptor tyrosine kinase,EGFR,EGFR,EGFR,1956,1956,epidermal growth factor receptor,epidermal growth factor receptor,BSK_hDFCGF_EGFR_down,BSK_hDFCGF
297,238,1000000.0,1000000.0,nR-nT,regulation of gene expression,kinase,receptor tyrosine kinase,EGFR,EGFR,EGFR,1956,1956,epidermal growth factor receptor,epidermal growth factor receptor,BSK_hDFCGF_EGFR_up,BSK_hDFCGF
298,239,1000000.0,22.2770251097773,nR-T,regulation of gene expression,cytokine,interleukins,CXCL8,CXCL8,CXCL8,3576,3576,chemokine (C-X-C motif) ligand 8,chemokine (C-X-C motif) ligand 8,BSK_hDFCGF_IL8_down,BSK_hDFCGF
299,240,1000000.0,1000000.0,nR-nT,regulation of gene expression,cytokine,interleukins,CXCL8,CXCL8,CXCL8,3576,3576,chemokine (C-X-C motif) ligand 8,chemokine (C-X-C motif) ligand 8,BSK_hDFCGF_IL8_up,BSK_hDFCGF
300,241,0.0122612740462744,7.47017904313418,R-T,regulation of gene expression,cytokine,chemotactic factor,CXCL10,CXCL10,CXCL10,3627,3627,chemokine (C-X-C motif) ligand 10,chemokine (C-X-C motif) ligand 10,BSK_hDFCGF_IP10_down,BSK_hDFCGF
301,242,1000000.0,1000000.0,nR-nT,regulation of gene expression,cytokine,chemotactic factor,CXCL10,CXCL10,CXCL10,3627,3627,chemokine (C-X-C motif) ligand 10,chemokine (C-X-C motif) ligand 10,BSK_hDFCGF_IP10_up,BSK_hDFCGF
302,243,0.152464778369646,8.81047695737142,R-T,regulation of gene expression,cytokine,colony stimulating factor,CSF1,CSF1,CSF1,1435,1435,colony stimulating factor 1 (macrophage),colony stimulating factor 1 (macrophage),BSK_hDFCGF_MCSF_down,BSK_hDFCGF
303,244,1000000.0,1000000.0,nR-nT,regulation of gene expression,cytokine,colony stimulating factor,CSF1,CSF1,CSF1,1435,1435,colony stimulating factor 1 (macrophage),colony stimulating factor 1 (macrophage),BSK_hDFCGF_MCSF_up,BSK_hDFCGF
304,245,1000000.0,11.8770785842479,nR-T,regulation of gene expression,cytokine,chemotactic factor,CXCL9,CXCL9,CXCL9,4283,4283,chemokine (C-X-C motif) ligand 9,chemokine (C-X-C motif) ligand 9,BSK_hDFCGF_MIG_down,BSK_hDFCGF
305,246,1000000.0,1000000.0,nR-nT,regulation of gene expression,cytokine,chemotactic factor,CXCL9,CXCL9,CXCL9,4283,4283,chemokine (C-X-C motif) ligand 9,chemokine (C-X-C motif) ligand 9,BSK_hDFCGF_MIG_up,BSK_hDFCGF
306,247,1000000.0,20.4220359950884,nR-T,regulation of gene expression,protease,matrix metalloproteinase,MMP1,MMP1,MMP1,4312,4312,matrix metallopeptidase 1 (interstitial collagenase),matrix metallopeptidase 1 (interstitial collagenase),BSK_hDFCGF_MMP1_down,BSK_hDFCGF
307,248,1000000.0,1000000.0,nR-nT,regulation of gene expression,protease,matrix metalloproteinase,MMP1,MMP1,MMP1,4312,4312,matrix metallopeptidase 1 (interstitial collagenase),matrix metallopeptidase 1 (interstitial collagenase),BSK_hDFCGF_MMP1_up,BSK_hDFCGF
308,249,1000000.0,6.76476411928534,nR-T,regulation of gene expression,cytokine,plasmogen activator inhibitor,SERPINE1,SERPINE1,SERPINE1,5054,5054,"serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1","serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1",BSK_hDFCGF_PAI1_down,BSK_hDFCGF
309,250,1000000.0,1000000.0,nR-nT,regulation of gene expression,cytokine,plasmogen activator inhibitor,SERPINE1,SERPINE1,SERPINE1,5054,5054,"serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1","serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1",BSK_hDFCGF_PAI1_up,BSK_hDFCGF
310,251,10.0729057363102,5.28205538283262,R-T,cell proliferation,cell cycle,cytotoxicity,cell proliferation,,,,,,,BSK_hDFCGF_Proliferation_down,BSK_hDFCGF
311,252,1000000.0,1000000.0,nR-nT,cell proliferation,cell cycle,proliferation,cell proliferation,,,,,,,BSK_hDFCGF_Proliferation_up,BSK_hDFCGF
312,253,1000000.0,14.4644116397117,nR-T,cell death,cell cycle,cytotoxicity,cell death,,,,,,,BSK_hDFCGF_SRB_down,BSK_hDFCGF
313,254,1000000.0,1000000.0,nR-nT,cell death,cell morphology,cell conformation,cell death,,,,,,,BSK_hDFCGF_SRB_up,BSK_hDFCGF
314,255,1000000.0,10.7195614800774,nR-T,regulation of gene expression,protease inhibitor,metalloproteinase inhibitor,TIMP1,TIMP1,TIMP1,7076,7076,TIMP metallopeptidase inhibitor 1,TIMP metallopeptidase inhibitor 1,BSK_hDFCGF_TIMP1_down,BSK_hDFCGF
315,256,1000000.0,1000000.0,nR-nT,regulation of gene expression,protease inhibitor,metalloproteinase inhibitor,TIMP1,TIMP1,TIMP1,7076,7076,TIMP metallopeptidase inhibitor 1,TIMP metallopeptidase inhibitor 1,BSK_hDFCGF_TIMP1_up,BSK_hDFCGF
316,257,0.175618668962954,8.78301175626009,R-T,regulation of gene expression,cell adhesion molecules,Immunoglobulin CAM,VCAM1,VCAM1,VCAM1,7412,7412,vascular cell adhesion molecule 1,vascular cell adhesion molecule 1,BSK_hDFCGF_VCAM1_down,BSK_hDFCGF
317,258,1000000.0,1000000.0,nR-nT,regulation of gene expression,cell adhesion molecules,Immunoglobulin CAM,VCAM1,VCAM1,VCAM1,7412,7412,vascular cell adhesion molecule 1,vascular cell adhesion molecule 1,BSK_hDFCGF_VCAM1_up,BSK_hDFCGF
318,259,1000000.0,10.8078404692003,nR-T,regulation of gene expression,cell adhesion molecules,Immunoglobulin CAM,ICAM1,ICAM1,ICAM1,3383,3383,intercellular adhesion molecule 1,intercellular adhesion molecule 1,BSK_KF3CT_ICAM1_down,BSK_KF3CT
319,260,1000000.0,1000000.0,nR-nT,regulation of gene expression,cell adhesion molecules,Immunoglobulin CAM,ICAM1,ICAM1,ICAM1,3383,3383,intercellular adhesion molecule 1,intercellular adhesion molecule 1,BSK_KF3CT_ICAM1_up,BSK_KF3CT
320,261,0.743046909459742,13.408702816551,R-T,regulation of gene expression,cytokine,interleukins,IL1A,IL1A,IL1A,3552,3552,"interleukin 1, alpha","interleukin 1, alpha",BSK_KF3CT_IL1a_down,BSK_KF3CT
321,262,1000000.0,1000000.0,nR-nT,regulation of gene expression,cytokine,interleukins,IL1A,IL1A,IL1A,3552,3552,"interleukin 1, alpha","interleukin 1, alpha",BSK_KF3CT_IL1a_up,BSK_KF3CT
322,263,1000000.0,8.3755129353182,nR-T,regulation of gene expression,cytokine,chemotactic factor,CXCL10,CXCL10,CXCL10,3627,3627,chemokine (C-X-C motif) ligand 10,chemokine (C-X-C motif) ligand 10,BSK_KF3CT_IP10_down,BSK_KF3CT
323,264,2.10364848575103,1000000.0,R-nT,regulation of gene expression,cytokine,chemotactic factor,CXCL10,CXCL10,CXCL10,3627,3627,chemokine (C-X-C motif) ligand 10,chemokine (C-X-C motif) ligand 10,BSK_KF3CT_IP10_up,BSK_KF3CT
324,265,1000000.0,10.7606634549199,nR-T,regulation of gene expression,cytokine,chemotactic factor,CCL2,CCL2,CCL2,6347,6347,chemokine (C-C motif) ligand 2,chemokine (C-C motif) ligand 2,BSK_KF3CT_MCP1_down,BSK_KF3CT
325,266,1000000.0,1000000.0,nR-nT,regulation of gene expression,cytokine,chemotactic factor,CCL2,CCL2,CCL2,6347,6347,chemokine (C-C motif) ligand 2,chemokine (C-C motif) ligand 2,BSK_KF3CT_MCP1_up,BSK_KF3CT
326,267,4.53290503192459,9.24202104085219,R-T,regulation of gene expression,protease,matrix metalloproteinase,MMP9,MMP9,MMP9,4318,4318,"matrix metallopeptidase 9 (gelatinase B, 92kDa gelatinase, 92kDa type IV collagenase)","matrix metallopeptidase 9 (gelatinase B, 92kDa gelatinase, 92kDa type IV collagenase)",BSK_KF3CT_MMP9_down,BSK_KF3CT
327,268,1000000.0,1000000.0,nR-nT,regulation of gene expression,protease,matrix metalloproteinase,MMP9,MMP9,MMP9,4318,4318,"matrix metallopeptidase 9 (gelatinase B, 92kDa gelatinase, 92kDa type IV collagenase)","matrix metallopeptidase 9 (gelatinase B, 92kDa gelatinase, 92kDa type IV collagenase)",BSK_KF3CT_MMP9_up,BSK_KF3CT
328,269,1000000.0,10.6873792009146,nR-T,cell death,cell cycle,cytotoxicity,cell death,,,,,,,BSK_KF3CT_SRB_down,BSK_KF3CT
329,270,1000000.0,1000000.0,nR-nT,cell death,cell morphology,cell conformation,cell death,,,,,,,BSK_KF3CT_SRB_up,BSK_KF3CT
330,271,0.00451424245477313,17.4265759732029,R-T,regulation of gene expression,growth factor,transforming growth factor beta,TGFB1,TGFB1,TGFB1,7040,7040,"transforming growth factor, beta 1","transforming growth factor, beta 1",BSK_KF3CT_TGFb1_down,BSK_KF3CT
331,272,1000000.0,1000000.0,nR-nT,regulation of gene expression,growth factor,transforming growth factor beta,TGFB1,TGFB1,TGFB1,7040,7040,"transforming growth factor, beta 1","transforming growth factor, beta 1",BSK_KF3CT_TGFb1_up,BSK_KF3CT
332,273,1000000.0,13.655723454251,nR-T,regulation of gene expression,protease inhibitor,metalloproteinase inhibitor,TIMP2,TIMP2,TIMP2,7077,7077,TIMP metallopeptidase inhibitor 2,TIMP metallopeptidase inhibitor 2,BSK_KF3CT_TIMP2_down,BSK_KF3CT
333,274,1000000.0,1000000.0,nR-nT,regulation of gene expression,protease inhibitor,metalloproteinase inhibitor,TIMP2,TIMP2,TIMP2,7077,7077,TIMP metallopeptidase inhibitor 2,TIMP metallopeptidase inhibitor 2,BSK_KF3CT_TIMP2_up,BSK_KF3CT
334,275,0.037925250338418,9.19961348199197,R-T,regulation of gene expression,protease,serine protease,PLAU,PLAU,PLAU,5328,5328,"plasminogen activator, urokinase","plasminogen activator, urokinase",BSK_KF3CT_uPA_down,BSK_KF3CT
335,276,1000000.0,1000000.0,nR-nT,regulation of gene expression,protease,serine protease,PLAU,PLAU,PLAU,5328,5328,"plasminogen activator, urokinase","plasminogen activator, urokinase",BSK_KF3CT_uPA_up,BSK_KF3CT
336,277,9.61188676100047,12.3788458704642,R-T,regulation of gene expression,cytokine,inflammatory factor,CD40,CD40,CD40,958,958,"CD40 molecule, TNF receptor superfamily member 5","CD40 molecule, TNF receptor superfamily member 5",BSK_LPS_CD40_down,BSK_LPS
337,278,1000000.0,1000000.0,nR-nT,regulation of gene expression,cytokine,inflammatory factor,CD40,CD40,CD40,958,958,"CD40 molecule, TNF receptor superfamily member 5","CD40 molecule, TNF receptor superfamily member 5",BSK_LPS_CD40_up,BSK_LPS
338,279,1000000.0,15.838157360233,nR-T,regulation of gene expression,cell adhesion molecules,selectins,SELE,SELE,SELE,6401,6401,selectin E,selectin E,BSK_LPS_Eselectin_down,BSK_LPS
339,280,1000000.0,1000000.0,nR-nT,regulation of gene expression,cell adhesion molecules,selectins,SELE,SELE,SELE,6401,6401,selectin E,selectin E,BSK_LPS_Eselectin_up,BSK_LPS
340,281,1000000.0,35.3841710158781,nR-T,regulation of gene expression,cytokine,interleukins,IL1A,IL1A,IL1A,3552,3552,"interleukin 1, alpha","interleukin 1, alpha",BSK_LPS_IL1a_down,BSK_LPS
341,282,1000000.0,1000000.0,nR-nT,regulation of gene expression,cytokine,interleukins,IL1A,IL1A,IL1A,3552,3552,"interleukin 1, alpha","interleukin 1, alpha",BSK_LPS_IL1a_up,BSK_LPS
342,283,1000000.0,36.4717485683215,nR-T,regulation of gene expression,cytokine,interleukins,CXCL8,CXCL8,CXCL8,3576,3576,chemokine (C-X-C motif) ligand 8,chemokine (C-X-C motif) ligand 8,BSK_LPS_IL8_down,BSK_LPS
343,284,1000000.0,1000000.0,nR-nT,regulation of gene expression,cytokine,interleukins,CXCL8,CXCL8,CXCL8,3576,3576,chemokine (C-X-C motif) ligand 8,chemokine (C-X-C motif) ligand 8,BSK_LPS_IL8_up,BSK_LPS
344,285,1000000.0,23.239411907127,nR-T,regulation of gene expression,cytokine,chemotactic factor,CCL2,CCL2,CCL2,6347,6347,chemokine (C-C motif) ligand 2,chemokine (C-C motif) ligand 2,BSK_LPS_MCP1_down,BSK_LPS
345,286,1000000.0,1000000.0,nR-nT,regulation of gene expression,cytokine,chemotactic factor,CCL2,CCL2,CCL2,6347,6347,chemokine (C-C motif) ligand 2,chemokine (C-C motif) ligand 2,BSK_LPS_MCP1_up,BSK_LPS
346,287,1000000.0,33.0498325062956,nR-T,regulation of gene expression,cytokine,colony stimulating factor,CSF1,CSF1,CSF1,1435,1435,colony stimulating factor 1 (macrophage),colony stimulating factor 1 (macrophage),BSK_LPS_MCSF_down,BSK_LPS
347,288,1000000.0,1000000.0,nR-nT,regulation of gene expression,cytokine,colony stimulating factor,CSF1,CSF1,CSF1,1435,1435,colony stimulating factor 1 (macrophage),colony stimulating factor 1 (macrophage),BSK_LPS_MCSF_up,BSK_LPS
348,289,1000000.0,33.8378686945058,nR-T,regulation of gene expression,gpcr,rhodopsin-like receptor,PTGER2,PTGER2,PTGER2,5732,5732,"prostaglandin E receptor 2 (subtype EP2), 53kDa","prostaglandin E receptor 2 (subtype EP2), 53kDa",BSK_LPS_PGE2_down,BSK_LPS
349,290,0.298981775959672,1000000.0,R-nT,regulation of gene expression,gpcr,rhodopsin-like receptor,PTGER2,PTGER2,PTGER2,5732,5732,"prostaglandin E receptor 2 (subtype EP2), 53kDa","prostaglandin E receptor 2 (subtype EP2), 53kDa",BSK_LPS_PGE2_up,BSK_LPS
350,291,1000000.0,26.6312681223042,nR-T,cell death,cell cycle,cytotoxicity,cell death,,,,,,,BSK_LPS_SRB_down,BSK_LPS
